# GENERATED by tools/parser-gen — id<TAB>preg<TAB>ninputs<TAB>hasout<TAB>fixed(hex)<TAB>mask(hex)
# (emitted_word & mask) == fixed pins opcode/CoP/Func3/S/I/R + the p-register in
# Cpreg[28:24]; mask clears the allocator-chosen Rs[19:15]/Rd[11:7].
prs_mv_x_p	15	0	1	0f00007b	fff0707f
prs_mv_x_p	11	0	1	0b00007b	fff0707f
prs_mv_x_p	16	0	1	1000007b	fff0707f
prs_mv_x_p	0	0	1	0000007b	fff0707f
prs_mv_x_p	3	0	1	0300007b	fff0707f
prs_mv_p_x	15	1	0	0f00107b	fff0707f
prs_mv_p_x	11	1	0	0b00107b	fff0707f
prs_mv_p_x	16	1	0	1000107b	fff0707f
prs_mv_p_x	0	1	0	0000107b	fff0707f
prs_mv_p_x	3	1	0	0300107b	fff0707f
prs_cam_read	15	1	1	0f10007b	fff0707f
prs_cam_read	11	1	1	0b10007b	fff0707f
prs_cam_read	16	1	1	1010007b	fff0707f
prs_cam_read	0	1	1	0010007b	fff0707f
prs_cam_read	3	1	1	0310007b	fff0707f
prs_array_read	15	1	1	0f50007b	fff0707f
prs_array_read	11	1	1	0b50007b	fff0707f
prs_array_read	16	1	1	1050007b	fff0707f
prs_array_read	0	1	1	0050007b	fff0707f
prs_array_read	3	1	1	0350007b	fff0707f
